SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://gucvod-ott2b.cdn.hinet.net/vod_guc/_definst_/smil:guc/ottliveUpload/video/guc/ch01_20260731154000.mp4/hd-hls-cl-pc.smil/playlist.m3u8
VIDEO TITLE: GUC 2026 Q2 investor conference replay (hinet OTT)
CALL DATE: 07-31-2026
QUARTER: Q2 FY2026
# source label: GUC (Global Unichip) Q2 FY2026 (07-31-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2130   characters: 21,594

---
[00:00] 各位投資先進 午安
[00:02] 歡迎各位參加創意電子
[69:51] 各位可能會覺得說 明明臺灣也沒有做
[69:54] 什麼training 或什麼為什麼會增加 那
[69:58] 各位應該知道為什麼
[70:01] 所以無論如何就是臺灣在整個這個
[70:04] 周邊 AI的周邊其實算到不少
[70:08] 這個對於 我覺得各位應該說
[70:11] 我們真的該為臺灣的能力
[70:16] 補償 真的是很不錯
[70:18] 所以我再說一遍
[70:20] 中國的比例
[70:22] 會減少 美國的比例會增加
[70:25] 臺灣的比例會增加
[70:27] Versus去年
[70:30] 不好意思 那個
[70:33] 問題就是不夠精確 我是想要瞭解說
[70:36] 在27年的時候 在車用這個領域
[70:39] 我們是中國客戶的比重會高呢
[70:42] 還是北美客戶的比重會高
[70:45] 這個問題
[70:47] 我第一時間當然會想說
[70:50] 北美的應該會比較高
[70:52] 但是北美的那一位又說他要做機器人
[70:55] 我又不能魅的良心說 他將來在機器人的
[70:59] revenue我硬說是車用
[71:01] 所以我不太能夠回答你的問題
[71:04] 但是
[71:06] 那一顆IC應該 revenue會出來
[71:10] 至於他怎麼應用
[71:12] 誰也控制不了
[71:15] 好 那第二個想要問一下就是說
[71:18] 因為這兩年我們大家都聚焦在我們公司
[71:23] 兩個北美的 CSP 的客戶上
[71:26] 那我不知道說我們家在另外兩個
[71:30] 比較大的
[71:31] 另外兩個比較大的 CSP 上
[71:33] 有沒有一些project上面的一個琢磨
[71:35] 比如說像那個加速器
[71:38] 或者是 CPU 上面是不是有
[71:41] 其他相關性的合作在進行當中
[71:46] 我們當然都有在努力
[71:48] 對啊
[71:51] 努力的成果也不會那麼快看得到
[71:54] 說實在的
[71:56] 那我們面對每一個
[71:58] revenue
[72:00] 我們都是精進業業的權利去搶
[72:05] 有成功的有失敗的
[72:07] 這就是
[72:09] 這就是人生
[72:11] 但是我覺得說
[72:12] 原來的那兩家之外
[72:14] 我們對於
[72:16] 繼續搶別家的那些我們是有信心的
[72:22] 好 那第三個問題想要請教一下
[72:24] 因為根據那個 Morgan Stanley 的報告
[72:27] 他們有提到就是說我們GUC 在明年
[72:31] 有拿到六萬片的 CoA-10 的殘忍
[72:35] 那當然這可能是
[72:37] 這個 Analyst 他們自己去
[72:38] channel check 的一個部分
[72:40] 但是因為無風不起浪
[72:42] 所以還是想問一下就是說
[72:43] 有這麼大的一個 CoA-10 的一個
[72:46] 的一個產能
[72:47] 因為我印象中 CPU 是不用用 CoA-10的
[72:49] 那我想問一下說
[72:50] 這樣子的一個產能的出現
[72:52] 是什麼樣的一個
[72:55] 產品
[72:56] 謝謝你
[72:57] 我剛剛回RETA的問題的時候
[72:59] 已經有提過
[73:00] 我也不知道那個六萬片是哪裡來的
[73:03] 那個 CoA-10 的量
[73:05] 我知道
[73:05] 我知道是報告寫的
[73:06] 但是
[73:07] 我們
[73:09] 不知道
[73:11] 好 謝謝那最後一個問題想問一下
[73:14] 我們這邊有沒有跟相記憶體廠商這邊
[73:17] 去做合作
[73:18] 比如說有 HBM 相關的應用
[73:20] 或是 HBF 相關的應用
[73:22] 謝謝
[73:25] HBF 我記得是前一兩次吧
[73:28] 我有提到我有那時候說 HBF 還有
[73:31] CBO
[73:33] 所以 HBF 的確有合作
[73:35] 那至於說 HBM 在
[73:38] 記憶體公司那邊來說
[73:40] 目前來看
[73:42] 他們應該都是傾向於 Base-type
[73:45] 就是所謂那個Logic 部分
[73:47] 他們還是要自己做
[73:49] 這樣子也合理
[73:50] 因為
[73:52] 如果以 Samsung 這家公司來說
[73:54] 他自己又有邏輯製程
[73:56] 又有當然是 D-RAM 製程
[73:58] 他當然是自己做
[74:00] 那 SK HINX 看樣子也是
[74:03] 就算沒有邏輯製程
[74:04] 他也是找台積電做
[74:06] 那他因為這是他們的
[74:08] Core Technology
[74:10] 所以我們當然希望
[74:13] 能夠幫他們
[74:15] 以我們
[74:16] 別的產品線跟
[74:18] SK HINX 合作經驗也是相當好的
[74:22] 那我只能說我們還在努力
[74:24] 希望說
[74:26] 他們一樣
[74:27] 我覺得很多時候都是看
[74:29] 產品越做越好
[74:31] 越做越多不同的 skill 的時候
[74:34] 我們的機會就會來
[74:35] 如果現在他 HVM 賣那麼好的情況下
[74:40] 他只要做一種就好了
[74:41] 他就辦不著 D-Vee 也出去不同的 skill
[74:45] 所以在
[74:46] Single
[74:47] 不要說 skill
[74:47] 就
[74:48] Single Line 這種走下去
[74:51] 我不覺得他們會把他
[74:54] 先讓出來
[74:56] 只要分開不同的產品
[74:58] 不同的 skill line
[75:00] 我們就會有機會
[75:01] 不是在暗示什麼
[75:03] 我只是在分析說通常對我們來說
[75:06] 要搶進一家客戶的
[75:09] main product
[75:11] 那
[75:12] 最佳機會就是他的 main product 開始分 skill
[75:15] 的時候
[75:16] 就是我們的機會
[75:18] 謝謝Kelvin的提問
[75:20] 接下來我們請這位先進提問
[75:22] 他要先放不上
[75:26] Morris Stanley Lucas
[75:28] 對 那就是講提問的是
[75:31] 就是剛剛有提到關於下一代的
[75:34] 北美客戶的晶片
[75:35] 然後對於
[75:36] 時程上已經有所瞭解
[75:38] 那不知道關於這個時程有沒有辦法
[75:41] 提供各種的一些
[75:43] colors 這樣 那
[75:44] 有關於下一代的這個晶片
[75:46] 因為其實也是
[75:48] 兩個 Foundry 之間的一個這個
[75:50] MorrisShare 的一個
[75:52] 變化嘛 那也想要對於
[75:54] 想想說關於層對於下一代的
[75:56] MorrisShare 有沒有一些資訊可以分享
[76:00] 謝謝
[76:01] 這樣子 這樣如果你說在非常敏感
[76:11] 那我只能 我現在想要提醒各位的
[76:14] 就是記不記得當年這個蘋果手機
[76:16] 的時候
[76:17] 就是
[76:18] 台積電跟三星在競爭
[76:21] 那我也相信那個狀況跟現在我們
[76:24] 面對的狀況 其實
[76:26] 可能差不多
[76:28] 那可是呢
[76:29] 反過來講就是 那時候我們
[76:31] 兩邊都在喊自己的製程領先
[76:33] 可是現在台積電已經不用喊
[76:36] 大家都知道台積電的領先
[76:38] 所以我其實對這方面我是滿有信心的
[76:45] 我們
[76:46] 不論是Table
[76:48] 還有PBA
[76:50] 這兩方面都是領先的
[76:53] 當然我們是GUC 加台積電
[76:56] 所以
[76:58] 我
[76:59] 我把
[77:01] 我沒有辦法確認說
[77:03] 這樣子我們就一定拿到
[77:06] MajorShare
[77:08] 因為有時候還會有地緣政治的影響
[77:11] 那個誰沒辦法保證
[77:15] 也有可能說他分產品線
[77:18] 比如說
[77:19] Robot給一個
[77:21] 給一家 然後車用給另外一家
[77:24] 這些誰也無法去判斷
[77:27] 客戶要怎麼決定
[77:29] 我只能說 我們在
[77:32] Head to Head的競爭 我們的
[77:34] 黑暴時間
[77:36] 我們的PBA的
[77:39] result
[77:40] 都比
[77:42] 不是保證 我們都知道我們比對方好
[77:49] Let's say that Lucas 接下來我們請富力的投資
[77:54] 謝謝
[77:56] 那個總經理 董事長好
[77:58] 那個我是富力德的CJ
[78:00] 那個想請教公司
[78:02] 因為
[78:04] 我們目前在台積電那邊
[78:06] 就是有
[78:08] 有一些從人的一些
[78:10] 觀察就看到一些
[78:12] 就是山奈米的頭片
[78:14] 那山奈米的這個部分的話
[78:16] 因為就是如同剛剛
[78:18] 總經理還有董事長的敘述
[78:20] 就是跟
[78:21] 台積電的那個緊密的合作
[78:23] 然後在這方面的那個才能的
[78:25] 拿取是非常有優勢的
[78:27] 那依照我們目前的一個計算
[78:30] 我覺得今年公司在
[78:33] 在兩大階級的客戶
[78:35] 還有
[78:36] 中國的客戶都有一些
[78:38] 頭片上的展貨
[78:40] 那甚至明年上
[78:42] 也有一個非常大的數據的跳升
[78:44] 那我可以理解就是說今年
[78:46] 26年的營收
[78:47] 就是
[78:48] 第一次總經理是說今年營收的成長
[78:51] 是跟去年差不多
[78:53] 那我可以理解說說今年可以接近到翻倍的時刻
[78:57] 然後明年的話
[78:58] 我看
[78:59] 可能也可以
[79:00] 也是類似接近翻倍
[79:03] 謝謝
[79:05] 你不要害得我被重訓
[79:08] 我可沒有講今年的是成長
[79:10] 跟去年或是前年差不多
[79:13] 我沒有講過
[79:14] 第一季的時候第一季法說那個
[79:16] 臺北好像有差不多
[79:19] 可是我來說明一下
[79:21] 當時候我確實是說
[79:24] 我們認為今年成長跟去年
[79:27] 的momentum
[79:28] 應該差不多
[79:29] 那是那時候的看法
[79:31] 那確實
[79:33] 在那個時間點年初的時候
[79:35] 我們對於整個年度尤其還有下半年的
[79:38] Waiver allocation上面
[79:40] 仍然比較沒有把握
[79:43] 但是呢
[79:44] 隨著時間的推進當然到了第一季
[79:47] 季末之後
[79:49] 我們慢慢地發現說對
[79:52] 臺積電的支持還有客戶這邊的
[79:56] 要這些
[79:57] 產能的擊破度
[80:00] 相對高很多
[80:01] 那這當然跟他
[80:03] 自己的CPU等等加速器等等要搭配
[80:07] 是有存在一定的關係這樣
[80:10] 所以說
[80:13] 在當然也是在我們整個團隊的努力之下
[80:16] 跟臺積這邊的共同協助下
[80:18] 也能夠得到更多的產能支持
[80:21] 於似乎到了
[80:23] 一季末甚至二季初的時候
[80:26] 我們的看法就會
[80:28] 慢慢的
[80:29] 被修正了
[80:30] 所以到今天為止我還是
[80:33] 必須講說下半年的狀況會比上半年要來的
[80:37] 可能特別是在這個Waiver取得上面有更為樂觀
[80:41] 這樣子
[80:41] 那當然您提到明年的情況一樣
[80:45] 現在是7月7月下旬
[80:48] 那事實上
[80:50] 明年整年度的產能配置
[80:53] 仍然還有在協調的空間在
[80:56] 所以說
[80:57] 是否能夠
[80:59] 能夠繼續維持說今年成長的幅度
[81:03] 跟明年成長的幅度相近這件事情
[81:06] 我現在沒有辦法給予很明確的方向
[81:10] 這樣子
[81:13] 不好意思我還有第二個問題就是從剛剛那個
[81:16] 董事長說的就是
[81:18] 跟公司的定位就是要找出自己的
[81:21] Value
[81:22] 那這個部分的話在GUC這部分在
[81:26] Design Service這塊的電路實體化做得非常的好
[81:29] 然後這也是就是那些CST龍頭像中GUC的
[81:34] 一個原因就是
[81:35] 因為他們可能可以做前段的RTL
[81:38] 演算法那一部分
[81:39] 然後在實體化的部分就交給GUC做進行
[81:42] 這樣的話就是兩邊是雙贏的狀態
[81:45] 龍頭達成Costdown
[81:47] 然後GUC也可以得到更多的案子
[81:50] 然後也必開就是像那些聯發科跟博通
[81:53] 在品牌上的競爭
[81:55] 因為他們是可以從前段做到後段
[81:58] 然後有產品上競爭的疑慮
[82:00] 這樣的話CST也會比較有疑慮
[82:03] 就是說往後面的那個案子後續的合作
[82:05] 那GUC剛好就是站在這方面的一個
[82:08] 立即點
[82:09] 那我目前就是理解到就是說有一些就是
[82:13] DXP的科物有慢慢的朝向這個方向去做
[82:16] 發展
[82:16] 然後有在這個部分的那個合作方式有
[82:20] 與GUC進行的一個前期的那個階段的研究
[82:24] 那可以能否請
[82:26] 就是董事長或董經理可以評論一下這個事情嗎
[82:30] 謝謝
[82:35] 可以再
[82:36] 講一下你的問題的重點是什麼嗎
[82:39] 不好意思
[82:40] 可以說太快
[82:41] 就是
[82:42] 就是剛剛我簡單講一下
[82:44] 就是
[82:47] 龍頭就是CST客戶
[82:49] 有就是逐漸的在避開就是像
[82:52] 聯發科或是博童
[82:54] 第一個就是因為毛利他們太高
[82:56] 第二個就是他們因為他們有自由產品
[82:58] 所以怕競爭
[82:59] 然後因而就是說他們想要把自己演算法
[83:02] 這個部分拿到自己手上之後
[83:04] 在電路實體化這部分就交給GUC做
[83:09] 那這樣的話這個部分的那個合作模式
[83:12] 可以評論一下目前的進展
[83:14] 因為在這方面的話就是對龍頭
[83:17] 來說是Costdown的一個好的地方
[83:19] 那在GUC的部分的話也是能得到更多
[83:22] 一些體格或是資訊
[83:24] 謝謝
[83:25] 其實我們都認為系統公司
[83:28] 他們最大的Values是他的Artitecture
[83:31] 整個系統
[83:32] 那就是說我相信每個公司都有他
[83:35] Resort的限制
[83:37] 所以他的Resort應該用來對他來說Values
[83:40] 最大的地方
[83:41] 譬如說TPU Computei
[83:43] 對他來說是他最重要的一個Design
[83:47] 他就自己做
[83:48] 那對於其他的
[83:50] 其他的Blocks
[83:51] 或其他周邊的Sucking
[83:54] 對他來說可能是一個輔助的方式
[83:57] 其實他的Resort不會放在那裡
[83:59] 那就GUC的角色
[84:01] GUC是就像我剛剛講的非常Flexible
[84:04] 我們會跟著客戶是像一個Virtual Team一樣
[84:09] Nexi對他來說重要
[84:11] 他做
[84:11] 因為他要掌控他的
[84:13] 他的Design的Value
[84:15] 他的CodeValue
[84:16] 那其他的這種地方
[84:18] 我要幫他完成整個晶片整個系統
[84:21] 我幫他完成
[84:22] 所以我覺得這個都是我們跟客戶來說話
[84:25] 因為我沒有任何產品
[84:26] GUC就像台積電一樣
[84:29] 是一個Pure Design Fang Jui
[84:33] 那個
[84:33] 其實在這邊跟大家講個小故事
[84:36] 這個可能大家不知道
[84:38] 在23年前
[84:39] 我們的前任的董事長
[84:42] 曾凡辰博士
[84:44] 那個台積電投資GUC那個時候
[84:47] 其實希望的那個訴求就是
[84:49] 台積是個Place的Founder
[84:51] 那希望有一個
[84:53] Dignite House
[84:54] 可以接Dignite這一塊
[84:56] 可以讓
[84:57] 提供一個一條龍的Service
[84:59] 對客戶而言
[84:59] Place加Dignite
[85:01] 所以就是當初為什麼
[85:03] 台積電投資創意電子
[85:05] 就希望創意電子能
[85:06] 能做到抵載這一塊
[85:09] 所以我們
[85:10] 秉持當初的初心
[85:12] GUC不是產品公司
[85:14] GUC是這個Service Company
[85:15] 所以我們會跟著客戶做
[85:17] 看他
[85:18] 怎麼需要什麼樣的合作
[85:20] 可以讓他的產品
[85:22] 在最快時間
[85:23] 能夠推爆
[85:24] 能夠量產
[85:25] 能夠賺錢
[85:27] 所以像你剛剛說那個龍頭CSV客戶
[85:30] 我們他的
[85:30] 他Risso有限
[85:32] 他一定要做他的
[85:33] 最
[85:34] 最
[85:35] 最核心的東西
[85:37] 其他東西我就幫他做
[85:40] 這樣的commanation其實
[85:41] 對他的CP values最好的
[85:44] 因為在能力上
[85:46] 我們GUC的能力
[85:47] 不會比其他的Ace Vendors
[85:49] 差
[85:50] 可能在IP上比較少
[85:52] 可是在設計能力上不會比較差
[85:54] 所以這對
[85:55] 對我們的CSV客戶其實是
[85:57] GUC是一個
[85:58] 非常好的選項
[86:00] 就跟大家分享一下
[86:02] 謝謝董事長
[86:03] 那
[86:04] 那董事長那我可以就是
[86:05] 就是理解就是說
[86:07] 未來是有機會在
[86:08] google tpu的compu
[86:10] 帶來是有一些
[86:11] 更多的合作
[86:13] 我相信一定有機會的
[86:15] 我們絕對不放棄也很有信心
[86:17] 謝謝
[86:17] 謝謝
[86:22] 大家應該很高興聽到這句話
[86:25] 謝謝謝謝的提問
[86:26] 接下來我們試驗五分鐘
[86:28] 大概就是最後一個問題
[86:30] 我們好
[86:32] 我們請各位先進謝謝
[86:43] 董事長 總經理還有蔡副長好
[86:45] 我是汪汪加班的Ryan
[86:47] 想跟請教一下
[86:48] 因為我看了好幾間的報告
[86:50] Salesight的報告
[86:50] YSE也有
[86:51] Bentley也有
[86:53] 大概最大的差異會是在
[86:55] 我們兩間北美客戶一間是
[86:58] 車用一間是CPU的
[86:59] 這個產品的ASP的部分
[87:02] 那我不會問細項
[87:03] 我只想問一個倍數的問題
[87:04] 就是
[87:05] 我們這個車用客戶的ASP
[87:08] 大概
[87:09] 會是這個CPU的ASP的
[87:11] 1到1.5倍還是2到3倍之前
[87:14] 因為這個算出來很大
[87:16] 那各家算出來的
[87:18] 都看起來都很有道理
[87:19] 因為量其實是我們可以自己去估
[87:22] 那ASP的差異就比較大
[87:24] 那另外一點就是這個車用客戶
[87:26] 他在設計方面
[87:27] 就是
[87:28] 這個這一代產品和前一代的
[87:30] 這個搭配上
[87:32] 未來有沒有可能就是
[87:34] 再回到說兩顆都是這一代的產品上
[87:38] 這兩個問題
[87:40] 我先回答第二個問題
[87:47] 坦白說不知道還會怎麼做
[87:50] 坦白說不知道
[87:51] 那
[87:53] 最近他可能
[87:54] 全力都放在
[87:55] SpaceX
[87:57] 然後其他就是想寫什麼寫什麼
[88:00] 然後幾天後又變
[88:01] Who knows
[88:03] 那
[88:06] 應該說
[88:07] 存靠Image Processing來做這種自動駕駛
[88:13] 會有一些
[88:15] 危險
[88:16] 應該是不夠的
[88:17] 所以要不然你就是Processor一定要更強
[88:21] 所以你問我個人我會覺得說
[88:24] 他Eventually應該
[88:26] 不會只用在
[88:27] 他說的只用在機器人而已
[88:31] 所以我覺得
[88:33] 這方面應該是還好
[88:34] 至於說客戶的
[88:36] 像說
[88:38] ASP
[88:39] 我們基本上我們不是很在乎
[88:42] 客戶的ASP
[88:43] 因為是他自己訂的價格
[88:46] 所以我們在乎的是我們能夠拿到多少
[88:49] out of the CSP
[88:52] 要不要ASP享受
[89:11] 這個第一不方便回答
[89:12] 第二
[89:13] 就像我講的我們也不是很在乎
[89:17] 因為
[89:18] 在我來看還是
[89:20] 還是毛利最重要
[89:21] 毛利最重要
[89:22] 他們定價多少
[89:25] 那個定價有可能變
[89:27] 像說CPU是沒有那個HBM的
[89:29] 那另外一家有HBM的
[89:31] HBM從
[89:32] 年初的240塊賬到700
[89:34] 賬到900
[89:36] 這怎麼辦
[89:37] 那個ASP絕對是跟著賬
[89:42] 不好意思這個真的沒辦法回答
[89:47] 好那今天的法收會
[89:50] 就到此告一段落
[89:51] 謝謝各位熱烈的捧場
[89:53] 雖然有
[89:53] 有那個
[89:55] 聯發科的干擾
[89:56] 各位都還
[89:58] 這個
[89:59] 很耐心的在這邊等候我們的回答
[90:01] 謝謝各位
[90:02] 那祝各位暑期愉快
[90:04] 下次見
[90:05] 謝謝
