SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=50wwIyq4BsM
VIDEO TITLE: replay (official channel replay)
CALL DATE: 08-13-2026
QUARTER: Q2 FY2026
# source label: Phison Q2 FY2026 (08-13-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2238   characters: 25,343

---
[00:00] 今天我們有五千二十分的獎勵
[65:30] 把人好人才留下来
[65:33] 确保我们有更多
[65:34] 更多新的生意
[65:35] 可以顺庆拿到
[65:37] 我们同时也用了
[65:38] 大量的AI工具
[65:39] 自己开发的
[65:41] 把这个
[65:42] 我的政策是在整个
[65:44] IC跟产品设计上面
[65:46] 已经不再找太多新人了
[65:47] 基本上就是用就能配上AI
[65:50] 那提升效率
[65:52] 倍数的成长
[65:53] 那肥用不再增加
[65:54] 那创造更好的营收跟活力
[65:57] 有加的人部分
[65:58] 绝对都在AI的这个开发生意的
[66:01] 等等的
[66:01] 那个刚看到
[66:02] 下次corder
[66:03] 我要好好地跟各位表述
[66:05] 我们在做什么事
[66:06] 那对于股东的期待
[66:08] 当然有两种声音
[66:10] 一种说
[66:10] 啊 我就是要55%
[66:12] 那董事会也在辩论55%
[66:14] 我们发出去
[66:15] 银行要来借钱经营
[66:16] 那让公司因为
[66:18] 这个资金不足
[66:19] 成长动能有限
[66:20] 那大部分股东
[66:21] 只是说我们应该让公司
[66:23] 继续成长
[66:24] 那另外再表说
[66:25] 我们这是上半年
[66:27] 我们一年分两次
[66:28] 上半年还有个下半年
[66:30] 如果我们下半年
[66:31] 有更好的货利
[66:33] 现金流更强
[66:34] 我们再评估下半年
[66:36] 因为
[66:36] 这个股息是讲
[66:38] 股东会是一整年
[66:39] 一整年
[66:40] 所以我们期待
[66:42] 有更好的一个现金流
[66:43] 下半年看看
[66:44] 你们的机会
[66:45] 把比例增高
[66:45] 但是这不是承诺
[66:47] 要看明年的整体的这个事况
[66:49] 但是基本的一个依据
[66:50] 就是我们希望整年的
[66:53] 背从我们董事会的
[66:55] 质利率
[66:56] 我们基本上还是希望
[66:58] 可以看到有5%
[66:59] 这是大部分股东的需求
[67:01] 那更多的良性股东
[67:03] 希望公司不要配太多股息
[67:05] 他希望公司把钱留着
[67:06] 让公司可以更好成长
[67:08] 最后我要表述的是
[67:10] 去年电子
[67:11] 这段时间会转型成
[67:13] 快速成长的一个企业
[67:15] 而不是一个稳定
[67:16] 魄力配股息的企业
[67:19] 我认为这是
[67:20] 这辈子只有一次的机会
[67:22] 我们要趁这个机会
[67:24] 抓住快速的成长
[67:26] 然后在这产业里面
[67:28] 把最大的生意把它吃下来
[67:32] 那刚刚投资也提到说
[67:33] 我们的竞产队手
[67:34] 也去弄ECB找钱
[67:37] 这个只是呼应
[67:38] 认可群联电子
[67:40] 过去讲的
[67:40] IC很难赚钱
[67:41] counter的发生了
[67:43] 模组
[67:44] 当然模组马上分析
[67:45] 还是要讲说
[67:46] 毛利利
[67:47] 这个我们都经历过了
[67:48] 都经历过了
[67:49] 所以刚进来的做模组
[67:51] 毛利利不用太久了
[67:53] 你们等着看吧
[67:53] 好吧
[67:54] 以上是跟各位
[67:56] 台湾的朋友做一个说明
[67:58] 也希望大家可以理解
[68:00] 我们的目的就是希望
[68:01] 去年电子长长久久
[68:04] 稳稳定定一直的成长
[68:06] 谢谢各位
[68:12] 所以我觉得我们10分钟
[68:15] 如果没有问题
[68:16] 我觉得我们可以结束
[68:17] 或者是因为
[68:19] 还是最早的
[68:21] 如果有问题
[68:22] 你问
[68:22] 我会回答
[68:23] 好吗
[68:24] 谢谢各位
[68:26] 我们也经过很多时间
[68:27] 所以我们会结束
[68:30] 谢谢各位
[68:31] 今天时间
[68:32] 谢谢大家
[68:33] 来参加我们的电子长长
[68:34] 好 谢谢各位
[68:36] 谢谢
[68:38] 谢谢
